match,market,selection,odds,model_prob,implied_prob,edge,result,pnl,league,tier,date
Torino vs Milan,1X2,Away,2.12,0.5671035238392554,0.4716981132075471,0.09540541063170832,L,-10.0,Serie A,1,2022-10-30
Cremonese vs Udinese,1X2,Away,1.87,0.6300616410958355,0.53475935828877,0.09530228280706554,L,-10.0,Serie A,1,2022-10-30
Besiktas vs Umraniyespor,O/U,Under 2.5,2.38,0.48471849660164357,0.42016806722689076,0.0645504293747528,L,-10.0,Super Lig,1,2022-10-30
FC Koln vs Hoffenheim,O/U,Under 2.5,2.42,0.4831404431098605,0.4132231404958678,0.0699173026139927,W,14.2,Bundesliga,1,2022-10-30
Union Berlin vs M'gladbach,1X2,Home,2.07,0.600872411766527,0.48309178743961356,0.11778062432691339,W,10.7,Bundesliga,1,2022-10-30
Lorient vs Nice,O/U,Over 2.5,2.06,0.546143408858008,0.4854368932038835,0.06070651565412455,W,10.600000000000001,Ligue 1,1,2022-10-30
Lorient vs Nice,1X2,Home,2.47,0.5919675815949259,0.4048582995951417,0.18710928199978422,L,-10.0,Ligue 1,1,2022-10-30
Cartagena vs Granada,1X2,Home,2.47,0.5228604873096339,0.4048582995951417,0.11800218771449217,L,-10.0,Segunda Division,2,2022-10-30
Plymouth vs Exeter,1X2,Home,1.97,0.5632303576292697,0.5076142131979695,0.05561614443130014,W,9.7,League One,3,2022-10-31
Lincoln vs Accrington,1X2,Home,2.48,0.512656022134852,0.40322580645161293,0.10943021568323902,L,-10.0,League One,3,2022-11-01
Tranmere vs Stockport,1X2,Home,2.81,0.45442072747327694,0.35587188612099646,0.09854884135228048,L,-10.0,League Two,4,2022-11-01
Villarreal B vs Oviedo,1X2,Home,2.82,0.4738449909248087,0.3546099290780142,0.1192350618467945,W,18.2,Segunda Division,2,2022-11-02
Aberdeen vs Hibernian,O/U,Over 2.5,2.05,0.5477276298150089,0.48780487804878053,0.059922751766228355,W,10.499999999999998,Premiership,1,2022-11-04
Aberdeen vs Hibernian,1X2,Home,2.66,0.5310820933230863,0.37593984962406013,0.15514224369902618,W,16.6,Premiership,1,2022-11-04
Kilmarnock vs Livingston,1X2,Home,2.61,0.47270383518957193,0.3831417624521073,0.08956207273746464,L,-10.0,Premiership,1,2022-11-04
Kasimpasa vs Ankaragucu,1X2,Home,2.48,0.48456244990396435,0.40322580645161293,0.08133664345235142,L,-10.0,Super Lig,1,2022-11-04
Umraniyespor vs Alanyaspor,O/U,Under 2.5,2.14,0.5618504788654121,0.4672897196261682,0.09456075923924384,L,-10.0,Super Lig,1,2022-11-04
Genk vs Charleroi,1X2,Home,1.39,0.8146298400718238,0.7194244604316548,0.09520537964016906,W,3.899999999999999,Jupiler Pro League,1,2022-11-04
M'gladbach vs Stuttgart,1X2,Home,2.21,0.558030379342354,0.45248868778280543,0.10554169155954857,W,12.1,Bundesliga,1,2022-11-04
Atromitos vs Aris,1X2,Home,3.42,0.3884593387121861,0.29239766081871343,0.09606167789347264,L,-10.0,Super League,1,2022-11-05
Hoffenheim vs RB Leipzig,1X2,Home,2.98,0.4443726073918398,0.33557046979865773,0.10880213759318208,L,-10.0,Bundesliga,1,2022-11-05
Eupen vs Standard,1X2,Away,2.23,0.554347647214069,0.4484304932735426,0.10591715394052642,L,-10.0,Jupiler Pro League,1,2022-11-05
Fortuna Dusseldorf vs St Pauli,1X2,Home,2.08,0.5836554044233404,0.4807692307692307,0.10288617365410968,W,10.8,2. Bundesliga,2,2022-11-05
Heidenheim vs Paderborn,O/U,Under 2.5,2.21,0.5122323035164967,0.45248868778280543,0.0597436157336913,L,-10.0,2. Bundesliga,2,2022-11-05
Empoli vs Sassuolo,O/U,Under 2.5,2.17,0.543914711644178,0.4608294930875576,0.08308521855662043,W,11.7,Serie A,1,2022-11-05
Valenciennes vs Caen,1X2,Home,3.19,0.46363489969995264,0.31347962382445144,0.1501552758755012,L,-10.0,Ligue 2,2,2022-11-05
Sudtirol vs Cagliari,1X2,Home,2.81,0.4666026044812889,0.35587188612099646,0.11073071836029241,L,-10.0,Serie B,2,2022-11-05
Burgos vs Tenerife,1X2,Home,2.47,0.5108352167865008,0.4048582995951417,0.1059769171913591,L,-10.0,Segunda Division,2,2022-11-05
QPR vs West Brom,1X2,Home,2.57,0.5306528759186038,0.38910505836575876,0.141547817552845,L,-10.0,Championship,2,2022-11-05
Millwall vs Hull,O/U,Over 2.5,2.16,0.5200286322922505,0.4629629629629629,0.05706566932928758,L,-10.0,Championship,2,2022-11-05
Millwall vs Hull,1X2,Home,1.84,0.5989343377670013,0.5434782608695652,0.055456076897436146,L,-10.0,Championship,2,2022-11-05
Bologna vs Torino,1X2,Home,3.05,0.42572074597959686,0.3278688524590164,0.09785189352058044,W,20.5,Serie A,1,2022-11-06
Roma vs Lazio,1X2,Away,3.74,0.46942497394124283,0.267379679144385,0.20204529479685784,W,27.400000000000002,Serie A,1,2022-11-06
Juventus vs Inter,O/U,Over 2.5,1.96,0.5883272788047298,0.5102040816326531,0.07812319717207672,L,-10.0,Serie A,1,2022-11-06
Juventus vs Inter,1X2,Home,3.05,0.4849160384949402,0.3278688524590164,0.15704718603592377,W,20.5,Serie A,1,2022-11-06
Betis vs Sevilla,1X2,Home,2.18,0.5848466034407738,0.4587155963302752,0.12613100711049857,L,-10.0,La Liga,1,2022-11-06
Antwerp vs Anderlecht,1X2,Home,2.19,0.6425231454176317,0.4566210045662101,0.1859021408514216,L,-10.0,Jupiler Pro League,1,2022-11-06
Tottenham vs Liverpool,1X2,Home,3.28,0.5254823345933008,0.3048780487804878,0.22060428581281305,L,-10.0,Premier League,1,2022-11-06
Estoril vs Benfica,O/U,Under 2.5,2.38,0.528681085519323,0.42016806722689076,0.10851301829243226,L,-10.0,Liga Portugal,1,2022-11-06
