league,tier,total_bets,wins,hit_rate,total_pnl,roi,avg_odds,avg_edge,seasons_positive,seasons_total,season_rois
Czech Republic: Pohar Ceske posty,3,102,32,0.3137,-41.2,-4.04,3.192,0.2533,1,4,"{'2011-12': -6.86, '2012-13': -32.49, '2013-14': -4.22, '2014-15': 20.95}"
Germany: Oberliga Schleswig-Holstein,3,646,194,0.3003,-260.76,-4.04,3.367,0.3008,2,4,"{'2011-12': 0.57, '2012-13': 18.51, '2013-14': -2.71, '2014-15': -22.38}"
Greece: Football League,2,274,72,0.2628,-124.91,-4.56,3.711,0.2495,0,2,"{'2011-12': -10.84, '2012-13': -0.02}"
Montenegro: Prva Crnogorska Liga,3,446,127,0.2848,-205.87,-4.62,3.488,0.2556,2,7,"{'2008-09': -2.83, '2009-10': -13.8, '2010-11': 9.93, '2011-12': -14.01, '2012-13': 0.77, '2013-14': -7.54, '2014-15': -5.32}"
Sweden: Division 2 - Norra Svealand,3,441,129,0.2925,-216.36,-4.91,3.373,0.2751,3,7,"{'2008-09': 13.69, '2009-10': -15.6, '2010-11': -30.64, '2011-12': 1.79, '2012-13': 1.41, '2013-14': -2.58, '2014-15': -0.12}"
Scotland: Premier League,1,775,225,0.2903,-393.67,-5.08,3.361,0.2508,3,8,"{'2004-05': -4.28, '2005-06': -22.32, '2006-07': -13.42, '2007-08': 1.12, '2008-09': 31.04, '2009-10': -20.93, '2011-12': -14.07, '2012-13': 1.55}"
Iceland: Division 2,3,151,45,0.298,-81.76,-5.41,3.35,0.2368,1,4,"{'2011-12': -25.02, '2012-13': -24.69, '2013-14': -2.24, '2014-15': 46.98}"
Turkey: TFF 2. Lig Group 3,3,126,37,0.2937,-71.22,-5.65,3.335,0.2454,0,2,"{'2008-09': -6.71, '2009-10': -5.02}"
Australia: Queensland State League,3,170,50,0.2941,-97.66,-5.74,3.392,0.2502,1,3,"{'2012-13': -35.71, '2013-14': 6.71, '2014-15': -2.42}"
Brazil: Campeonato Paulista,3,959,274,0.2857,-553.66,-5.77,3.442,0.2474,4,11,"{'2004-05': 2.56, '2005-06': 26.26, '2006-07': 4.19, '2007-08': -12.94, '2008-09': -20.5, '2009-10': -7.35, '2010-11': -4.63, '2011-12': -0.21, '2012-13': -14.96, '2013-14': 8.13, '2014-15': -30.62}"
Scotland: Division 2,3,835,242,0.2898,-481.4,-5.77,3.327,0.267,3,8,"{'2004-05': 26.08, '2005-06': -30.46, '2006-07': 6.89, '2007-08': -13.86, '2008-09': -21.83, '2009-10': -5.95, '2011-12': -1.32, '2012-13': 2.67}"
Finland: Ykkonen,3,860,245,0.2849,-503.13,-5.85,3.447,0.2696,5,11,"{'2004-05': 10.41, '2005-06': 13.99, '2006-07': -23.04, '2007-08': -30.39, '2008-09': -1.67, '2009-10': 4.54, '2010-11': -12.2, '2011-12': 0.55, '2012-13': -7.56, '2013-14': -11.47, '2014-15': 17.07}"
